site,date,population,population_order,population_color,participant_count
Site 1,2018-01-29,Randomized,2,#3690c0,10
Site 1,2018-01-30,Randomized,2,#3690c0,10
Site 1,2018-01-31,Randomized,2,#3690c0,10
Site 1,2018-02-01,Randomized,2,#3690c0,10
Site 1,2018-02-02,Randomized,2,#3690c0,10
Site 1,2018-02-03,Randomized,2,#3690c0,10
Site 1,2018-02-04,Randomized,2,#3690c0,10
Site 1,2018-02-05,Randomized,2,#3690c0,10
Site 1,2018-02-06,Randomized,2,#3690c0,13
Site 1,2018-02-07,Randomized,2,#3690c0,13
Site 1,2018-02-08,Randomized,2,#3690c0,13
Site 1,2018-02-09,Randomized,2,#3690c0,13
Site 1,2018-02-10,Randomized,2,#3690c0,13
Site 1,2018-02-11,Randomized,2,#3690c0,13
Site 1,2018-02-12,Randomized,2,#3690c0,13
Site 1,2018-02-13,Randomized,2,#3690c0,13
Site 2,2017-07-28,Randomized,2,#3690c0,0
Site 2,2017-07-29,Randomized,2,#3690c0,0
Site 2,2017-07-30,Randomized,2,#3690c0,0
Site 2,2017-07-31,Randomized,2,#3690c0,0
Site 2,2017-08-01,Randomized,2,#3690c0,0
Site 2,2017-08-02,Randomized,2,#3690c0,0
Site 2,2017-08-03,Randomized,2,#3690c0,0
Site 2,2017-08-04,Randomized,2,#3690c0,0
Site 2,2017-08-05,Randomized,2,#3690c0,0
Site 2,2017-08-06,Randomized,2,#3690c0,0
Site 2,2017-08-07,Randomized,2,#3690c0,0
Site 2,2017-08-08,Randomized,2,#3690c0,0
Site 2,2017-08-09,Randomized,2,#3690c0,0
Site 2,2017-08-10,Randomized,2,#3690c0,0
Site 2,2017-08-11,Randomized,2,#3690c0,0
Site 2,2017-08-12,Randomized,2,#3690c0,0
Site 2,2017-08-13,Randomized,2,#3690c0,0
Site 2,2017-08-14,Randomized,2,#3690c0,0
Site 2,2017-08-15,Randomized,2,#3690c0,0
Site 2,2017-08-16,Randomized,2,#3690c0,0
Site 2,2017-08-17,Randomized,2,#3690c0,0
Site 2,2017-08-18,Randomized,2,#3690c0,0
Site 2,2017-08-19,Randomized,2,#3690c0,0
Site 2,2017-08-20,Randomized,2,#3690c0,0
Site 2,2017-08-21,Randomized,2,#3690c0,0
Site 2,2017-08-22,Randomized,2,#3690c0,0
Site 2,2017-08-23,Randomized,2,#3690c0,0
Site 2,2017-08-24,Randomized,2,#3690c0,0
Site 2,2017-08-25,Randomized,2,#3690c0,0
Site 2,2017-08-26,Randomized,2,#3690c0,0
Site 2,2017-08-27,Randomized,2,#3690c0,0
Site 2,2017-08-28,Randomized,2,#3690c0,0
Site 2,2017-08-29,Randomized,2,#3690c0,0
Site 2,2017-08-30,Randomized,2,#3690c0,0
Site 2,2017-08-31,Randomized,2,#3690c0,0
Site 2,2017-09-01,Randomized,2,#3690c0,0
Site 2,2017-09-02,Randomized,2,#3690c0,0
Site 2,2017-09-03,Randomized,2,#3690c0,0
Site 2,2017-09-04,Randomized,2,#3690c0,0
Site 2,2017-09-05,Randomized,2,#3690c0,0
Site 2,2017-09-06,Randomized,2,#3690c0,0
Site 2,2017-09-07,Randomized,2,#3690c0,0
Site 2,2017-09-08,Randomized,2,#3690c0,0
Site 2,2017-09-09,Randomized,2,#3690c0,0
Site 2,2017-09-10,Randomized,2,#3690c0,0
Site 2,2017-09-11,Randomized,2,#3690c0,0
Site 2,2017-09-12,Randomized,2,#3690c0,0
Site 2,2017-09-13,Randomized,2,#3690c0,0
Site 2,2017-09-14,Randomized,2,#3690c0,0
Site 2,2017-09-15,Randomized,2,#3690c0,0
Site 2,2017-09-16,Randomized,2,#3690c0,0
Site 2,2017-09-17,Randomized,2,#3690c0,0
Site 2,2017-09-18,Randomized,2,#3690c0,0
Site 2,2017-09-19,Randomized,2,#3690c0,0
Site 2,2017-09-20,Randomized,2,#3690c0,0
Site 2,2017-09-21,Randomized,2,#3690c0,0
Site 2,2017-09-22,Randomized,2,#3690c0,0
Site 2,2017-09-23,Randomized,2,#3690c0,0
Site 2,2017-09-24,Randomized,2,#3690c0,0
Site 2,2017-09-25,Randomized,2,#3690c0,0
Site 2,2017-09-26,Randomized,2,#3690c0,0
Site 2,2017-09-27,Randomized,2,#3690c0,0
Site 2,2017-09-28,Randomized,2,#3690c0,0
Site 2,2017-09-29,Randomized,2,#3690c0,0
Site 2,2017-09-30,Randomized,2,#3690c0,0
Site 2,2017-10-01,Randomized,2,#3690c0,0
Site 2,2017-10-02,Randomized,2,#3690c0,0
Site 2,2017-10-03,Randomized,2,#3690c0,0
Site 2,2017-10-04,Randomized,2,#3690c0,4
Site 2,2017-10-05,Randomized,2,#3690c0,7
Site 2,2017-10-06,Randomized,2,#3690c0,7
Site 2,2017-10-07,Randomized,2,#3690c0,7
Site 2,2017-10-08,Randomized,2,#3690c0,7
Site 2,2017-10-09,Randomized,2,#3690c0,7
Site 2,2017-10-10,Randomized,2,#3690c0,10
Site 2,2017-10-11,Randomized,2,#3690c0,10
Site 2,2017-10-12,Randomized,2,#3690c0,10
Site 2,2017-10-13,Randomized,2,#3690c0,10
Site 2,2017-10-14,Randomized,2,#3690c0,10
Site 2,2017-10-15,Randomized,2,#3690c0,10
Site 2,2017-10-16,Randomized,2,#3690c0,10
Site 2,2017-10-17,Randomized,2,#3690c0,10
Site 2,2017-10-18,Randomized,2,#3690c0,10
Site 2,2017-10-19,Randomized,2,#3690c0,10
Site 2,2017-10-20,Randomized,2,#3690c0,10
Site 2,2017-10-21,Randomized,2,#3690c0,10
Site 2,2017-10-22,Randomized,2,#3690c0,10
Site 2,2017-10-23,Randomized,2,#3690c0,10
Site 2,2017-10-24,Randomized,2,#3690c0,10
Site 2,2017-10-25,Randomized,2,#3690c0,10
Site 2,2017-10-26,Randomized,2,#3690c0,10
Site 2,2017-10-27,Randomized,2,#3690c0,10
Site 2,2017-10-28,Randomized,2,#3690c0,10
Site 2,2017-10-29,Randomized,2,#3690c0,10
Site 2,2017-10-30,Randomized,2,#3690c0,10
Site 2,2017-10-31,Randomized,2,#3690c0,10
Site 2,2017-11-01,Randomized,2,#3690c0,10
Site 2,2017-11-02,Randomized,2,#3690c0,10
Site 2,2017-11-03,Randomized,2,#3690c0,10
Site 2,2017-11-04,Randomized,2,#3690c0,10
Site 2,2017-11-05,Randomized,2,#3690c0,10
Site 2,2017-11-06,Randomized,2,#3690c0,13
Site 2,2017-11-07,Randomized,2,#3690c0,13
Site 2,2017-11-08,Randomized,2,#3690c0,13
Site 2,2017-11-09,Randomized,2,#3690c0,13
Site 2,2017-11-10,Randomized,2,#3690c0,13
Site 2,2017-11-11,Randomized,2,#3690c0,13
Site 2,2017-11-12,Randomized,2,#3690c0,13
Site 2,2017-11-13,Randomized,2,#3690c0,13
Site 2,2017-11-14,Randomized,2,#3690c0,13
Site 2,2017-11-15,Randomized,2,#3690c0,13
Site 2,2017-11-16,Randomized,2,#3690c0,13
Site 2,2017-11-17,Randomized,2,#3690c0,13
Site 2,2017-11-18,Randomized,2,#3690c0,13
Site 2,2017-11-19,Randomized,2,#3690c0,13
Site 2,2017-11-20,Randomized,2,#3690c0,13
Site 2,2017-11-21,Randomized,2,#3690c0,13
Site 2,2017-11-22,Randomized,2,#3690c0,13
Site 2,2017-11-23,Randomized,2,#3690c0,13
Site 2,2017-11-24,Randomized,2,#3690c0,13
Site 2,2017-11-25,Randomized,2,#3690c0,13
Site 2,2017-11-26,Randomized,2,#3690c0,13
Site 2,2017-11-27,Randomized,2,#3690c0,13
Site 2,2017-11-28,Randomized,2,#3690c0,13
Site 2,2017-11-29,Randomized,2,#3690c0,13
Site 2,2017-11-30,Randomized,2,#3690c0,13
Site 2,2017-12-01,Randomized,2,#3690c0,13
Site 2,2017-12-02,Randomized,2,#3690c0,13
Site 2,2017-12-03,Randomized,2,#3690c0,13
Site 2,2017-12-04,Randomized,2,#3690c0,13
Site 2,2017-12-05,Randomized,2,#3690c0,13
Site 2,2017-12-06,Randomized,2,#3690c0,13
Site 2,2017-12-07,Randomized,2,#3690c0,13
Site 2,2017-12-08,Randomized,2,#3690c0,13
Site 2,2017-12-09,Randomized,2,#3690c0,13
Site 2,2017-12-10,Randomized,2,#3690c0,13
Site 2,2017-12-11,Randomized,2,#3690c0,13
Site 2,2017-12-12,Randomized,2,#3690c0,13
Site 2,2017-12-13,Randomized,2,#3690c0,13
Site 2,2017-12-14,Randomized,2,#3690c0,13
Site 2,2017-12-15,Randomized,2,#3690c0,13
Site 2,2017-12-16,Randomized,2,#3690c0,13
Site 2,2017-12-17,Randomized,2,#3690c0,13
Site 2,2017-12-18,Randomized,2,#3690c0,13
Site 2,2017-12-19,Randomized,2,#3690c0,13
Site 2,2017-12-20,Randomized,2,#3690c0,13
Site 2,2017-12-21,Randomized,2,#3690c0,13
Site 2,2017-12-22,Randomized,2,#3690c0,13
Site 2,2017-12-23,Randomized,2,#3690c0,13
Site 2,2017-12-24,Randomized,2,#3690c0,13
Site 2,2017-12-25,Randomized,2,#3690c0,13
Site 2,2017-12-26,Randomized,2,#3690c0,13
Site 2,2017-12-27,Randomized,2,#3690c0,13
Site 2,2017-12-28,Randomized,2,#3690c0,13
Site 2,2017-12-29,Randomized,2,#3690c0,13
Site 2,2017-12-30,Randomized,2,#3690c0,13
Site 2,2017-12-31,Randomized,2,#3690c0,13
Site 2,2018-01-01,Randomized,2,#3690c0,13
Site 2,2018-01-02,Randomized,2,#3690c0,13
Site 2,2018-01-03,Randomized,2,#3690c0,13
Site 2,2018-01-04,Randomized,2,#3690c0,13
Site 2,2018-01-05,Randomized,2,#3690c0,13
Site 2,2018-01-06,Randomized,2,#3690c0,13
Site 2,2018-01-07,Randomized,2,#3690c0,13
Site 2,2018-01-08,Randomized,2,#3690c0,13
Site 2,2018-01-09,Randomized,2,#3690c0,13
Site 2,2018-01-10,Randomized,2,#3690c0,13
Site 2,2018-01-11,Randomized,2,#3690c0,13
Site 2,2018-01-12,Randomized,2,#3690c0,13
Site 2,2018-01-13,Randomized,2,#3690c0,13
Site 2,2018-01-14,Randomized,2,#3690c0,13
Site 2,2018-01-15,Randomized,2,#3690c0,13
Site 2,2018-01-16,Randomized,2,#3690c0,13
Site 2,2018-01-17,Randomized,2,#3690c0,13
Site 2,2018-01-18,Randomized,2,#3690c0,13
Site 2,2018-01-19,Randomized,2,#3690c0,13
Site 2,2018-01-20,Randomized,2,#3690c0,13
Site 2,2018-01-21,Randomized,2,#3690c0,13
Site 2,2018-01-22,Randomized,2,#3690c0,13
Site 2,2018-01-23,Randomized,2,#3690c0,13
Site 2,2018-01-24,Randomized,2,#3690c0,13
Site 2,2018-01-25,Randomized,2,#3690c0,13
Site 2,2018-01-26,Randomized,2,#3690c0,13
Site 2,2018-01-27,Randomized,2,#3690c0,13
Site 2,2018-01-28,Randomized,2,#3690c0,13
Site 2,2018-01-29,Randomized,2,#3690c0,13
Site 2,2018-01-30,Randomized,2,#3690c0,15
Site 2,2018-01-31,Randomized,2,#3690c0,15
Site 2,2018-02-01,Randomized,2,#3690c0,15
Site 2,2018-02-02,Randomized,2,#3690c0,15
Site 2,2018-02-03,Randomized,2,#3690c0,15
Site 2,2018-02-04,Randomized,2,#3690c0,15
Site 2,2018-02-05,Randomized,2,#3690c0,19
Site 2,2018-02-06,Randomized,2,#3690c0,19
Site 2,2018-02-07,Randomized,2,#3690c0,19
Site 2,2018-02-08,Randomized,2,#3690c0,19
Site 2,2018-02-09,Randomized,2,#3690c0,19
Site 2,2018-02-10,Randomized,2,#3690c0,19
Site 2,2018-02-11,Randomized,2,#3690c0,19
Site 2,2018-02-12,Randomized,2,#3690c0,19
Site 2,2018-02-13,Randomized,2,#3690c0,19
